model,f1_mean,roc_mean,prauc_mean,acc_mean
LogisticRegression(L2),0.6480960952025281,0.7765788580595936,0.6689565941182786,0.7136030208433903
RandomForest,0.5488195038883894,0.7408753713043967,0.6482355516812872,0.6910325148306675
Dummy(stratified),0.37907581684056935,0.49476390647391855,0.39004053911215364,0.5210176037073988
Dummy(most_frequent),0.0,0.5,0.3918005985904161,0.608199401409584
