,count,percent
agent_name,1170,24.228618761648374
contract_expiration_date,302,6.253882791468213
first_name,300,6.212466349140609
from_league,212,4.39014288672603
from_league_name,212,4.39014288672603
from_club_name,212,4.39014288672603
to_club_name,165,3.416856492027335
to_league,165,3.416856492027335
to_league_name,165,3.416856492027335
transfer_fee,123,2.5471112031476495
market_value_in_eur,8,0.16566576931041624
country_of_birth,1,0.02070822116380203
city_of_birth,1,0.02070822116380203
foot,1,0.02070822116380203
sub_position,0,0.0
date_of_birth,0,0.0
country_of_citizenship,0,0.0
position,0,0.0
player_id,0,0.0
height_in_cm,0,0.0
url,0,0.0
current_club_domestic_competition_id,0,0.0
current_club_name,0,0.0
market_value_in_eur_player,0,0.0
highest_market_value_in_eur,0,0.0
Name,0,0.0
Attribute Vector,0,0.0
Percentiles,0,0.0
image_url,0,0.0
last_name,0,0.0
player_code,0,0.0
PostMinutes,0,0.0
transfer_season,0,0.0
from_club_id,0,0.0
to_club_id,0,0.0
player_name,0,0.0
player_name_norm,0,0.0
PreMinutes,0,0.0
GA_pre,0,0.0
GA_post,0,0.0
current_club_id,0,0.0
GA90_pre,0,0.0
GA90_post,0,0.0
PerfChange,0,0.0
DeclineFlag,0,0.0
transfer_date,0,0.0
name,0,0.0
last_season,0,0.0
Position,0,0.0
