game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,attendance,home_club_formation,away_club_formation,aggregate
2321027,L1,2013,1,2013-08-11,33.0,41.0,3.0,3.0,8.0,9.0,61973.0,1,1.0,3
2321033,L1,2013,1,2013-08-10,23.0,86.0,0.0,1.0,13.0,7.0,23000.0,2,8.0,6
2321044,L1,2013,2,2013-08-18,16.0,23.0,2.0,1.0,1.0,15.0,80200.0,1,2.0,16
2321060,L1,2013,3,2013-08-25,23.0,24.0,0.0,2.0,18.0,11.0,23325.0,2,1.0,7
2321072,L1,2013,5,2013-09-14,16.0,41.0,6.0,2.0,1.0,15.0,80645.0,1,18.0,26
2321079,L1,2013,5,2013-09-15,23.0,4.0,1.0,1.0,18.0,16.0,22570.0,3,1.0,1
2321086,L1,2013,6,2013-09-21,4.0,16.0,1.0,1.0,15.0,1.0,50000.0,1,1.0,1
2321152,L1,2013,11,2013-11-02,44.0,33.0,0.0,2.0,7.0,6.0,69277.0,1,1.0,7
2321205,L1,2013,17,2013-12-21,41.0,39.0,2.0,3.0,14.0,9.0,50000.0,1,10.0,23
2321233,L1,2013,20,2014-02-08,41.0,44.0,0.0,3.0,17.0,7.0,48593.0,1,7.0,8
2321307,L1,2013,29,2014-04-05,16.0,82.0,2.0,1.0,2.0,6.0,80645.0,1,1.0,16
2321330,L1,2013,31,2014-04-19,167.0,44.0,0.0,0.0,8.0,10.0,30059.0,1,7.0,0
2321335,L1,2013,32,2014-04-27,33.0,18.0,0.0,1.0,3.0,6.0,61973.0,1,3.0,6
2323730,RU1,2013,1,2013-07-14,121.0,12438.0,2.0,2.0,5.0,10.0,5604.0,1,1.0,2
2323731,RU1,2013,1,2013-07-17,16704.0,964.0,1.0,2.0,15.0,3.0,16500.0,1,5.0,16
2329782,BE1,2013,18,2013-12-07,1411.0,3508.0,1.0,1.0,16.0,4.0,2769.0,4,4.0,1
2330874,FR1,2013,8,2013-09-28,618.0,595.0,2.0,2.0,6.0,8.0,31952.0,5,1.0,2
2330880,FR1,2013,10,2013-10-19,14171.0,855.0,1.0,2.0,16.0,10.0,8620.0,3,3.0,16
2330916,FR1,2013,15,2013-11-30,1423.0,1082.0,0.0,1.0,18.0,2.0,14874.0,3,8.0,6
2330980,FR1,2013,19,2013-12-21,1421.0,1147.0,4.0,1.0,7.0,20.0,14522.0,6,1.0,18
2331006,FR1,2013,22,2014-01-25,855.0,583.0,1.0,1.0,14.0,1.0,17623.0,3,5.0,1
2331018,FR1,2013,21,2014-01-18,273.0,14171.0,0.0,0.0,15.0,17.0,13391.0,5,1.0,0
