model,accuracy,precision,recall,f1,roc_auc
RandomForest,0.8117664853731534,0.8461728299483827,0.636685669949266,0.7251572254071401,0.8998562859709249
Logistic,0.783803516450509,0.7616425901903195,0.6534643818974398,0.7028841850185894,0.8467486470088378
DecisionTree,0.692898872547442,0.6867793867131695,0.4013430108290071,0.5043572829743237,0.7297958802185512
Dummy,0.6082024050890913,0.0,0.0,0.0,0.5
