mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
7.013887596130371,0.9966264687210653,0.2739882469177246,0.11487714610348422,0.7,400,7,0.1,0.7,"{'model__subsample': 0.7, 'model__n_estimators': 400, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.7}",0.849896480331263,0.8271221532091098,0.8250517598343685,0.8478260869565217,0.8518134715025907,0.8403419903667707,0.011725613876508617,1,0.8174157303370787,0.8502994011976048,0.8168168168168168,0.8146067415730337,0.8121546961325967,0.822258677211426,0.014142084240356293,1,0.784366576819407,0.7082294264339152,0.7157894736842105,0.7816711590296496,0.7967479674796748,0.7573609206893714,0.03745322827184123,1,0.8005502063273727,0.7727891156462585,0.7629733520336606,0.797799174690509,0.8043775649794802,0.7876978827354562,0.016607250676605907,1,0.9116673084328071,0.8887471586520423,0.8898598886294233,0.9155541461867766,0.9089230825194157,0.9029503168840931,0.011345531276598295,1
4.76243782043457,0.819822310991576,0.26949057579040525,0.09111157059563414,0.9,400,5,0.1,0.9,"{'model__subsample': 0.9, 'model__n_estimators': 400, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.9}",0.8219461697722568,0.8043478260869565,0.8012422360248447,0.8219461697722568,0.8310880829015544,0.8161140969115739,0.01141808897745353,2,0.7970149253731343,0.8333333333333334,0.7848484848484848,0.7917888563049853,0.7909604519774012,0.7995892103674679,0.01730827987783729,5,0.7196765498652291,0.6608478802992519,0.6815789473684211,0.7277628032345014,0.7588075880758808,0.7097347537686569,0.034683335409888646,2,0.7563739376770539,0.7371349095966621,0.7295774647887324,0.7584269662921348,0.7745504840940526,0.7512127524897271,0.01605991135832883,2,0.8889261364923329,0.8797696025423167,0.8706484641638225,0.891494711091984,0.8907804514286755,0.8843238731438262,0.008025550939820575,2
3.402344846725464,0.44788570570945974,0.18972110748291016,0.06902185709784522,1.0,200,7,0.1,0.9,"{'model__subsample': 1.0, 'model__n_estimators': 200, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.9}",0.8240165631469979,0.8002070393374742,0.7950310559006211,0.8209109730848861,0.827979274611399,0.8136289812162756,0.013363319455230331,3,0.7863247863247863,0.825,0.7808641975308642,0.7928994082840237,0.8048048048048048,0.7979786393888959,0.015692453367967547,6,0.7439353099730458,0.6583541147132169,0.6657894736842105,0.7223719676549866,0.7262872628726287,0.7033476257796176,0.034555877846871384,3,0.7645429362880887,0.7323162274618585,0.71875,0.7559943582510579,0.7635327635327636,0.7470272571067538,0.018306596216605218,3,0.8912953860789599,0.8785690640654998,0.8652820190407761,0.8941923939387075,0.8885796911660391,0.8835837108579965,0.010555306878390078,3
9.52780122756958,2.977524255540427,0.2820864200592041,0.12951214669617894,1.0,400,7,0.05,1.0,"{'model__subsample': 1.0, 'model__n_estimators': 400, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.8146997929606625,0.8002070393374742,0.7939958592132506,0.8209109730848861,0.8269430051813471,0.8113513339555241,0.012418590062245162,4,0.7857142857142857,0.8209876543209876,0.7873015873015873,0.7911764705882353,0.8023952095808383,0.7975150415011868,0.013103660237672834,7,0.7115902964959568,0.6633416458852868,0.6526315789473685,0.7250673854447439,0.7262872628726287,0.695783633929197,0.03147202726370907,5,0.7468175388967468,0.7337931034482759,0.7136690647482015,0.7566807313642757,0.7624466571834992,0.7426814191281998,0.017461224055043554,4,0.88623977893044,0.8765431553858716,0.861204418897072,0.8908740854832499,0.8878476200869392,0.8805418117567145,0.010793716329523605,6
5.61101884841919,1.306120721786807,0.28247766494750975,0.16842399645074446,1.0,200,7,0.1,1.0,"{'model__subsample': 1.0, 'model__n_estimators': 200, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.8198757763975155,0.8043478260869565,0.782608695652174,0.8126293995859213,0.8300518134715026,0.8099027022388141,0.016054302941448217,5,0.7922848664688428,0.8291925465838509,0.7672955974842768,0.7761627906976745,0.8059701492537313,0.7941811900976752,0.02198121239332387,9,0.7196765498652291,0.6658354114713217,0.6421052631578947,0.7196765498652291,0.7317073170731707,0.6958002182865691,0.03524348455055047,4,0.7542372881355932,0.7385892116182573,0.6991404011461319,0.7468531468531469,0.7670454545454546,0.7411731004597167,0.023003212496219283,5,0.8889216063784005,0.8807273850771302,0.859866175678103,0.8891888831004101,0.891821720230625,0.8821051540929338,0.011726255193502759,5
6.727920770645142,1.6674266085824248,0.23393678665161133,0.0310230900428557,0.7,200,7,0.05,0.9,"{'model__subsample': 0.7, 'model__n_estimators': 200, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.9}",0.8146997929606625,0.7939958592132506,0.7898550724637681,0.8198757763975155,0.8227979274611399,0.8082448856992673,0.013637847757959221,6,0.7909090909090909,0.8322368421052632,0.7791798107255521,0.803076923076923,0.801829268292683,0.8014463870219025,0.01765045268238158,4,0.7035040431266847,0.6309226932668329,0.65,0.7035040431266847,0.7127371273712737,0.6801335813782952,0.03312126933371767,6,0.7446504992867332,0.7177304964539007,0.7087517934002869,0.75,0.7546628407460545,0.7351591259773951,0.018394765232176705,6,0.8893247865183809,0.8757707501158607,0.8674735045805638,0.8914992412059164,0.887811243884251,0.8823759052609945,0.009238774117533256,4
4.216466999053955,1.6266925906530711,0.22716197967529297,0.06746376107019672,1.0,400,5,0.1,0.9,"{'model__subsample': 1.0, 'model__n_estimators': 400, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.9}",0.8115942028985508,0.7939958592132506,0.7846790890269151,0.8053830227743272,0.8134715025906736,0.8018247353007435,0.010945460996555781,8,0.7889908256880734,0.8136645962732919,0.7621951219512195,0.7781155015197568,0.7981072555205048,0.7882146601905693,0.017465248340079648,12,0.6954177897574124,0.6533665835411472,0.6578947368421053,0.6900269541778976,0.6856368563685636,0.6764685841374252,0.017353093340309624,7,0.7392550143266475,0.7247579529737206,0.7062146892655368,0.7314285714285714,0.7376093294460642,0.727853111488108,0.011964718245574782,7,0.8794853790572833,0.8753293756758547,0.8589770073648284,0.8780266823710617,0.881318091704407,0.8746273072346871,0.008066572953666667,8
3.8257001876831054,1.0350725732418675,0.1499788761138916,0.013247275183393074,0.7,200,7,0.05,0.7,"{'model__subsample': 0.7, 'model__n_estimators': 200, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.7}",0.8167701863354038,0.7908902691511387,0.7877846790890269,0.8053830227743272,0.8093264248704664,0.8020309164440725,0.011034277845516402,7,0.7993827160493827,0.835016835016835,0.7725856697819314,0.786833855799373,0.7863777089783281,0.7960393571251702,0.02125363960011723,8,0.6981132075471698,0.6184538653366584,0.6526315789473685,0.6765498652291105,0.6883468834688347,0.6668190801058284,0.02855848769755119,8,0.7453237410071942,0.7106017191977078,0.7075606276747504,0.7275362318840579,0.7341040462427746,0.725025273201297,0.014239449302375563,8,0.8925683480939546,0.8693796482245711,0.8625067361235853,0.887354186957802,0.88479201906113,0.8793201876922087,0.01141495786516934,7
3.8503696441650392,1.5300319526607737,0.22625045776367186,0.09770164119798823,1.0,400,5,0.05,0.7,"{'model__subsample': 1.0, 'model__n_estimators': 400, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.7}",0.8022774327122153,0.7898550724637681,0.7857142857142857,0.7888198757763976,0.7937823834196891,0.7920898100172712,0.005709400895150845,9,0.7903225806451613,0.8256578947368421,0.7763578274760383,0.7684887459807074,0.7707006369426752,0.7863055371562849,0.0210933760782521,13,0.660377358490566,0.6259351620947631,0.6394736842105263,0.6442048517520216,0.6558265582655827,0.645163522962692,0.012232614524483383,9,0.7195301027900147,0.7120567375886525,0.7012987012987013,0.7008797653958945,0.7086383601756955,0.7084807334497918,0.006989385034152743,9,0.8680717570046885,0.861271599761658,0.846865457158254,0.8582572651702192,0.8646259616958586,0.8598184081581357,0.007260278384078281,11
1.5614451885223388,0.08371913434864398,0.13485679626464844,0.009122693754935667,1.0,200,5,0.1,0.9,"{'model__subsample': 1.0, 'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.9}",0.7929606625258799,0.7732919254658385,0.7857142857142857,0.7784679089026915,0.794818652849741,0.7850506870916872,0.008246486199721778,10,0.77491961414791,0.8033333333333333,0.7817589576547231,0.7540453074433657,0.780327868852459,0.7788770162863582,0.01575307461081783,15,0.6495956873315364,0.600997506234414,0.631578947368421,0.628032345013477,0.6449864498644986,0.6310381871624694,0.01703352496799165,10,0.7067448680351907,0.6875891583452212,0.6986899563318777,0.6852941176470588,0.7062314540059347,0.6969099108730565,0.009039791928455812,10,0.8655733991709892,0.8601814048948425,0.8488638404885934,0.8552402092912638,0.8651534166348375,0.8590024540961052,0.006314230850544705,12
