player_name,player_name_norm,player_id,transfer_date,from_club_id,to_club_id,from_league,to_league,GA90_pre,GA90_post,PerfChange_1y,DeclineFlag_1y,PreMinutes,PostMinutes,InsufficientPreData,InsufficientPostData,UsedPostWindowDays,fbref_name,Position,OUT_GA90_pre,OUT_GA90_post,OUT_PerfChange_1y,OUT_DeclineFlag_1y,OUT_PreMinutes,OUT_PostMinutes,OUT_InsufficientPreData,OUT_InsufficientPostData,OUT_UsedPostWindowDays
Moatasem Al-Musrati,moatasem al-musrati,377641,2025-06-30,162,114,FR1,TR1,0.13068731848983545,,,,2066.0,0.0,0,0,,,,0,0,0,0,0,0,0,1,0
Derrick Köhn,derrick khn,391780,2025-06-30,86,141,L1,TR1,0.2028169014084507,,,,1775.0,0.0,0,0,,,,0,0,0,0,0,0,0,1,0
Nicolò Zaniolo,nicol zaniolo,392085,2025-06-30,430,141,IT1,TR1,0.6577344701583434,,,,821.0,0.0,0,0,,,,0,0,0,0,0,0,0,1,0
Victor Nelsson,victor nelsson,422951,2025-06-30,12,141,IT1,TR1,0.0,,,,725.0,0.0,0,0,,,,0,0,0,0,0,0,0,1,0
Casper Tengstedt,casper tengstedt,464598,2025-06-30,276,294,IT1,PO1,0.5724381625441697,,,,1415.0,0.0,0,0,,,,0,0,0,0,0,0,0,1,0
Francisco Conceição,francisco conceio,487474,2025-06-30,506,720,IT1,PO1,0.509915014164306,,,,1765.0,0.0,0,0,,,,0,0,0,0,0,0,0,1,0
Jakov Medic,jakov medic,488755,2025-06-30,80,610,L1,NL1,0.06721433905899926,,,,1339.0,0.0,0,0,,,,0,0,0,0,0,0,0,1,0
David Jurásek,david jursek,500054,2025-06-30,533,294,L1,PO1,0.1725790987535954,,,,1043.0,0.0,0,0,,,,0,0,0,0,0,0,0,1,0
Fisayo Dele-Bashiru,fisayo dele-bashiru,530742,2025-06-30,398,7775,IT1,TR1,0.5213613323678493,,,,1381.0,0.0,0,0,,,,0,0,0,0,0,0,0,1,0
Daniel Svensson,daniel svensson,579287,2025-06-30,16,2778,L1,DK1,0.08196721311475409,,,,2196.0,0.0,0,0,,,,0,0,0,0,0,0,0,1,0
Marcus Pedersen,marcus pedersen,583404,2025-06-30,416,234,IT1,NL1,0.0,,,,1289.0,0.0,0,0,,,,0,0,0,0,0,0,0,1,0
Iván Jaime,ivn jaime,610335,2025-06-30,1049,720,ES1,PO1,0.43902439024390244,,,,820.0,0.0,0,0,,,,0,0,0,0,0,0,0,1,0
Jean Onana,jean onana,656441,2025-06-30,252,114,IT1,TR1,0.0,,,,298.0,0.0,1,0,,,,0,0,0,0,0,0,0,1,0
Dário Essugo,drio essugo,670717,2025-06-30,472,336,ES1,PO1,0.06172839506172839,,,,1458.0,0.0,0,0,,,,0,0,0,0,0,0,0,1,0
Roberto Fernández,roberto fernndez,720518,2025-06-30,714,1075,ES1,PO1,0.1966783216783217,,,,3503.125,0.0,0,0,,,,0,0,0,0,1,0,0,1,0
Carlos Forbs,carlos forbs,742451,2025-06-30,543,610,GB1,NL1,0.14610389610389612,,,,616.0,0.0,0,0,,,,0,0,0,0,0,0,0,1,0
Mohamed Amoura,mohamed amoura,746910,2025-06-30,82,3948,L1,BE1,0.7758620689655172,,,,2320.0,0.0,0,0,,,,0,0,0,0,0,0,0,1,0
Rémy Vita,rmy vita,805835,2025-06-30,1416,385,FR1,NL1,,,,,0.0,0.0,1,0,,,,0,0,0,0,0,0,0,1,0
Stefanos Tzimas,stefanos tzimas,950091,2025-06-30,4,1091,L1,GR1,,,,,0.0,0.0,1,0,,,,0,0,0,0,0,0,0,1,0
Ümit Akdağ,mit akda,958647,2025-06-30,415,11282,FR1,TR1,0.0,,,,440.0,0.0,1,0,,,,0,0,0,0,0,0,0,1,0
Jewison Bennette,jewison bennette,743627,2025-03-09,289,63007,GB1,UKR1,0.0,0.0,0.0,,9.0,45.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Tim Jabol-Folcarelli,tim jabol-folcarelli,674241,2025-02-11,1147,449,FR1,TR1,,0.0,,,0.0,2.0,1,0,365.0,,,0,0,0,0,0,0,0,1,1
Przemyslaw Frankowski,przemyslaw frankowski,239743,2025-02-10,826,141,FR1,TR1,0.2933719666787396,0.1851851851851852,-0.1081867814935544,1.0,2761.0,486.0,0,0,365.0,,,0,0,0,0,0,0,0,0,1
Abdülkadir Ömür,abdlkadir mr,271495,2025-02-10,3008,126,GB1,TR1,0.9097051563581279,0.0,-0.40668288180712353,,64.0,117.0,1,0,365.0,,,1,0,1,0,0,0,0,1,1
Ionuț Nedelcearu,ionu nedelcearu,274694,2025-02-07,458,71985,IT1,RU1,0.0,0.0,0.0,,81.0,495.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
Mario Lemina,mario lemina,170934,2025-02-05,543,141,GB1,TR1,0.1921708185053381,0.6122448979591837,0.42007407945384556,,2810.0,294.0,0,0,365.0,,,0,0,0,0,0,0,0,1,1
Tyrell Malacia,tyrell malacia,339340,2025-02-04,985,383,GB1,NL1,0.0,0.0,0.0,,315.0,639.0,1,0,365.0,,,0,0,0,0,0,0,0,0,1
