from_league,to_league,Position,sub_position,position,foot,GA90_pre,GA_pre,PreMinutes,transfer_fee,market_value_in_eur,market_value_in_eur_player,highest_market_value_in_eur,country_of_birth,country_of_citizenship,height_in_cm,transfer_date,date_of_birth,contract_expiration_date,DeclineFlag
IT1,TR1,AttMid_Winger,Attacking Midfield,Midfield,left,0.6135291033036182,26.0,3814.0,0.0,18000000.0,16000000.0,55000000.0,Italy,Italy,190.0,2025-02-03,1999-07-02 00:00:00,2025-06-30 00:00:00,1.0
TR1,IT1,AttMid_Winger,Attacking Midfield,Midfield,left,0.6135291033036182,26.0,3814.0,0.0,18000000.0,16000000.0,55000000.0,Italy,Italy,190.0,2025-02-03,1999-07-02 00:00:00,2025-06-30 00:00:00,1.0
FR1,GB1,Midfielder,Central Midfield,Midfield,right,0.3613766730401529,21.0,5230.0,18000000.0,10000000.0,15000000.0,15000000.0,Zimbabwe,Zimbabwe,188.0,2025-02-03,1996-06-22 00:00:00,2028-06-30 00:00:00,0.0
IT1,IT1,Midfielder,Central Midfield,Midfield,right,0.2389078498293515,7.0,2637.0,0.0,20000000.0,18000000.0,35000000.0,Italy,Italy,178.0,2025-02-03,2001-02-12 00:00:00,2025-06-30 00:00:00,0.0
GB1,IT1,Forward,Second Striker,Attack,right,0.5782575173477255,25.0,3891.0,0.0,30000000.0,25000000.0,100000000.0,Portugal,Portugal,181.0,2025-02-03,1999-11-10 00:00:00,2025-06-30 00:00:00,1.0
GB1,IT1,Forward,Second Striker,Attack,right,0.5782575173477255,25.0,3891.0,0.0,30000000.0,25000000.0,100000000.0,Portugal,Portugal,181.0,2025-02-03,1999-11-10 00:00:00,2025-06-30 00:00:00,1.0
GB1,IT1,CenterBack,Centre-Back,Defender,left,0.0798108187998817,3.0,3383.0,0.0,18000000.0,18000000.0,18000000.0,England,England,189.0,2025-02-03,1998-10-06 00:00:00,2025-06-30 00:00:00,1.0
GB1,BE1,GoalKeeper,Goalkeeper,Goalkeeper,right,0.0,0.0,1080.0,0.0,14000000.0,11000000.0,18000000.0,Ireland,Ireland,188.0,2025-02-03,2002-02-20 00:00:00,2025-06-30 00:00:00,1.0
ES1,ES1,Midfielder,Defensive Midfield,Midfield,left,0.304054054054054,7.0,2072.0,0.0,3500000.0,4000000.0,4000000.0,Spain,Spain,181.0,2025-02-03,2000-10-18 00:00:00,2025-06-30 00:00:00,0.0
ES1,ES1,Midfielder,Defensive Midfield,Midfield,left,0.304054054054054,7.0,2072.0,0.0,3500000.0,4000000.0,4000000.0,Spain,Spain,181.0,2025-02-03,2000-10-18 00:00:00,2025-06-30 00:00:00,0.0
L1,GB1,Forward,Centre-Forward,Attack,right,0.8177905308464849,19.0,2091.0,0.0,30000000.0,40000000.0,50000000.0,France,France,183.0,2025-02-03,2005-04-27 00:00:00,2025-06-30 00:00:00,1.0
GB1,GB1,AttMid_Winger,Left Winger,Attack,right,0.5262348053546699,38.0,6499.0,0.0,55000000.0,50000000.0,85000000.0,England,England,185.0,2025-02-02,1997-10-31 00:00:00,2025-06-30 00:00:00,0.0
FR1,GB1,CenterBack,Centre-Back,Defender,right,0.0465597516813243,3.0,5799.0,0.0,25000000.0,25000000.0,25000000.0,Austria,Austria,190.0,2025-02-02,1998-09-19 00:00:00,2025-06-30 00:00:00,1.0
FR1,L1,CenterBack,Centre-Back,Defender,left,0.0562060889929742,4.0,6405.0,13000000.0,20000000.0,24000000.0,24000000.0,Belgium,Belgium,185.0,2025-02-02,2000-05-25 00:00:00,2029-06-30 00:00:00,1.0
L1,FR1,CenterBack,Centre-Back,Defender,left,0.0562060889929742,4.0,6405.0,0.0,20000000.0,24000000.0,24000000.0,Belgium,Belgium,185.0,2025-02-01,2000-05-25 00:00:00,2029-06-30 00:00:00,1.0
ES1,ES1,AttMid_Winger,Left Winger,Attack,right,0.3539823008849557,8.0,2034.0,0.0,4000000.0,2800000.0,15000000.0,Spain,Spain,172.0,2025-01-31,1993-05-20 00:00:00,2025-06-30 00:00:00,1.0
NL1,NL1,AttMid_Winger,Right Winger,Attack,right,0.0439882697947214,1.0,2046.0,0.0,1500000.0,1500000.0,4000000.0,Netherlands,Netherlands,170.0,2025-01-31,1999-08-27 00:00:00,2025-06-30 00:00:00,0.0
FR1,FR1,CenterBack,Centre-Back,Defender,left,0.0531600708800945,3.0,5079.0,0.0,10000000.0,10000000.0,12000000.0,France,France,186.0,2025-01-31,1999-11-02 00:00:00,2025-06-30 00:00:00,0.0
GB1,ES1,Midfielder,Defensive Midfield,Midfield,right,0.0,0.0,795.0,0.0,9000000.0,9000000.0,13000000.0,Spain,Spain,185.0,2025-01-31,2004-10-22 00:00:00,2025-06-30 00:00:00,0.0
IT1,IT1,GoalKeeper,Goalkeeper,Goalkeeper,right,0.0,0.0,3330.0,,500000.0,500000.0,10000000.0,Italy,Italy,191.0,2025-01-30,1991-03-02 00:00:00,2025-06-30 00:00:00,1.0
FR1,TR1,CenterBack,Centre-Back,Defender,right,0.0311850311850311,1.0,2886.0,0.0,15000000.0,15000000.0,65000000.0,Slovakia,Slovakia,188.0,2025-01-30,1995-02-11 00:00:00,2025-06-30 00:00:00,0.0
L1,BE1,CenterBack,Centre-Back,Defender,right,0.0503637381085618,2.0,3574.0,0.0,1800000.0,1800000.0,5000000.0,France,France,188.0,2025-01-30,1998-11-19 00:00:00,2025-06-30 00:00:00,1.0
FR1,FR1,CenterBack,Centre-Back,Defender,left,0.0531600708800945,3.0,5079.0,0.0,10000000.0,10000000.0,12000000.0,France,France,186.0,2025-01-30,1999-11-02 00:00:00,2025-06-30 00:00:00,0.0
,GB1,Midfielder,Defensive Midfield,Midfield,right,0.0,0.0,795.0,0.0,9000000.0,9000000.0,13000000.0,Spain,Spain,185.0,2025-01-30,2004-10-22 00:00:00,2025-06-30 00:00:00,0.0
,FR1,Forward,Centre-Forward,Attack,right,0.0,0.0,514.0,0.0,2000000.0,2000000.0,16000000.0,France,Algeria,181.0,2025-01-29,1991-10-09 00:00:00,2025-06-30 00:00:00,1.0
,FR1,Forward,Centre-Forward,Attack,right,0.0,0.0,514.0,0.0,2000000.0,2000000.0,16000000.0,France,Algeria,181.0,2025-01-29,1991-10-09 00:00:00,2025-06-30 00:00:00,1.0
ES1,IT1,Midfielder,Central Midfield,Midfield,left,0.2128917800118273,8.0,3382.0,1000000.0,2800000.0,2800000.0,4500000.0,Spain,Spain,184.0,2025-01-29,1997-02-14 00:00:00,2027-06-30 00:00:00,1.0
IT1,IT1,CenterBack,Centre-Back,Defender,left,0.0,0.0,6018.0,1800000.0,3500000.0,3500000.0,7000000.0,Spain,Spain,193.0,2025-01-28,1993-08-31 00:00:00,2027-06-30 00:00:00,1.0
L1,FR1,Forward,Centre-Forward,Attack,right,0.6110572259941804,7.0,1031.0,0.0,2000000.0,2000000.0,8000000.0,France,France,185.0,2025-01-28,1997-08-08 00:00:00,2025-06-30 00:00:00,0.0
L1,FR1,Forward,Centre-Forward,Attack,right,0.6110572259941804,7.0,1031.0,0.0,2000000.0,2000000.0,8000000.0,France,France,185.0,2025-01-28,1997-08-08 00:00:00,2025-06-30 00:00:00,0.0
ES1,L1,Forward,Centre-Forward,Attack,right,0.6110572259941804,7.0,1031.0,0.0,2000000.0,2000000.0,8000000.0,France,France,185.0,2025-01-27,1997-08-08 00:00:00,2025-06-30 00:00:00,0.0
ES1,L1,Forward,Centre-Forward,Attack,right,0.6110572259941804,7.0,1031.0,0.0,2000000.0,2000000.0,8000000.0,France,France,185.0,2025-01-27,1997-08-08 00:00:00,2025-06-30 00:00:00,0.0
GB1,IT1,FullBack,Centre-Back,Defender,left,0.0,0.0,1264.0,0.0,10000000.0,18000000.0,18000000.0,Portugal,Portugal,190.0,2025-01-27,2003-07-29 00:00:00,2025-06-30 00:00:00,1.0
GB1,ES1,AttMid_Winger,Right Winger,Attack,left,0.2792862684251357,12.0,3867.0,0.0,20000000.0,20000000.0,75000000.0,Brazil,Brazil,172.0,2025-01-25,2000-02-24 00:00:00,2025-06-30 00:00:00,0.0
GB1,IT1,FullBack,Right-Back,Defender,right,0.0636042402826855,5.0,7075.0,0.0,10000000.0,6000000.0,50000000.0,England,England,183.0,2025-01-24,1990-05-28 00:00:00,2025-06-30 00:00:00,1.0
L1,GB1,Forward,Centre-Forward,Attack,right,0.9300217548948514,57.0,5516.0,75000000.0,60000000.0,75000000.0,75000000.0,Egypt,Egypt,183.0,2025-01-23,1999-02-07 00:00:00,2029-06-30 00:00:00,1.0
FR1,IT1,Forward,Centre-Forward,Attack,right,0.7627118644067796,37.0,4366.0,0.0,30000000.0,30000000.0,80000000.0,France,France,187.0,2025-01-23,1998-12-05 00:00:00,2025-06-30 00:00:00,0.0
IT1,GR1,CenterBack,Centre-Back,Defender,right,0.1155698234349919,4.0,3115.0,0.0,2200000.0,2200000.0,4000000.0,Poland,Poland,187.0,2025-01-22,1997-02-11 00:00:00,2025-06-30 00:00:00,1.0
FR1,FR1,Midfielder,Defensive Midfield,Midfield,right,0.1087481875302078,5.0,4138.0,0.0,7000000.0,7000000.0,16000000.0,France,France,183.0,2025-01-22,1995-03-09 00:00:00,2025-06-30 00:00:00,1.0
FR1,ES1,FullBack,Left-Back,Defender,left,0.3173483779971791,5.0,1418.0,0.0,2500000.0,2500000.0,20000000.0,Spain,Spain,170.0,2025-01-21,1993-03-01 00:00:00,2025-06-30 00:00:00,1.0
ES1,FR1,FullBack,Left-Back,Defender,left,0.3173483779971791,5.0,1418.0,0.0,2500000.0,2500000.0,20000000.0,Spain,Spain,170.0,2025-01-20,1993-03-01 00:00:00,2025-06-30 00:00:00,1.0
IT1,FR1,AttMid_Winger,Left Winger,Attack,both,0.5142083897158322,38.0,6651.0,70000000.0,85000000.0,80000000.0,85000000.0,Georgia,Georgia,183.0,2025-01-17,2001-02-12 00:00:00,2029-06-30 00:00:00,0.0
GB1,GB1,CenterBack,Centre-Back,Defender,right,0.1091901728844404,4.0,3297.0,0.0,13000000.0,17000000.0,22000000.0,Sierra Leone,England,192.0,2025-01-15,1999-07-05 00:00:00,2028-06-30 00:00:00,0.0
ES1,PO1,GoalKeeper,Goalkeeper,Goalkeeper,left,0.0,0.0,5805.0,0.0,5000000.0,6000000.0,15000000.0,Portugal,Portugal,191.0,2025-01-14,1994-02-07 00:00:00,2025-06-30 00:00:00,1.0
TR1,TR1,Midfielder,Defensive Midfield,Midfield,right,0.2705410821643286,9.0,2994.0,,300000.0,200000.0,4500000.0,Germany,Türkiye,185.0,2025-01-13,1992-03-23 00:00:00,2025-06-30 00:00:00,1.0
FR1,IT1,Midfielder,Central Midfield,Midfield,right,0.2021336327905671,12.0,5343.0,15000000.0,15000000.0,15000000.0,25000000.0,France,France,174.0,2025-01-12,2000-02-15 00:00:00,2029-06-30 00:00:00,0.0
L1,L1,FullBack,Right-Back,Defender,right,0.1965455628350208,11.0,5037.0,4500000.0,7000000.0,7000000.0,25000000.0,Germany,Germany,176.0,2025-01-10,1998-04-08 00:00:00,2027-06-30 00:00:00,1.0
FR1,GB1,CenterBack,Centre-Back,Defender,right,0.0883392226148409,5.0,5094.0,20000000.0,10000000.0,17000000.0,17000000.0,Cote d'Ivoire,Cote d'Ivoire,192.0,2025-01-09,1997-06-17 00:00:00,2029-06-30 00:00:00,1.0
FR1,FR1,GoalKeeper,Goalkeeper,Goalkeeper,left,0.0,0.0,7050.0,14000000.0,15000000.0,15000000.0,15000000.0,Congo,France,187.0,2025-01-08,1994-04-25 00:00:00,2029-06-30 00:00:00,1.0
GB1,FR1,Midfielder,Central Midfield,Midfield,right,0.0721153846153846,1.0,1248.0,0.0,3000000.0,5000000.0,8000000.0,France,France,178.0,2025-01-07,2001-07-07 00:00:00,2025-06-30 00:00:00,1.0
FR1,NL1,FullBack,Right-Back,Defender,right,0.0,0.0,671.0,0.0,1200000.0,1200000.0,5000000.0,Belgium,Belgium,182.0,2025-01-03,1999-10-14 00:00:00,2025-06-30 00:00:00,1.0
L1,L1,AttMid_Winger,Left Winger,Attack,right,0.3959773727215587,7.0,1591.0,0.0,3500000.0,5000000.0,7000000.0,Germany,Germany,181.0,2025-01-02,2001-09-20 00:00:00,2025-06-30 00:00:00,1.0
,FR1,Midfielder,Central Midfield,Midfield,right,0.3028603477285473,6.0,1783.0,20000000.0,12000000.0,12000000.0,32000000.0,France,Cote d'Ivoire,185.0,2025-01-01,1995-05-07 00:00:00,2029-06-30 00:00:00,0.0
,,Midfielder,Central Midfield,Midfield,right,0.3363587827015483,7.0,1873.0,0.0,12000000.0,12000000.0,32000000.0,France,Cote d'Ivoire,185.0,2024-12-31,1995-05-07 00:00:00,2029-06-30 00:00:00,0.0
,GR1,Forward,Centre-Forward,Attack,right,0.5790884718498659,12.0,1865.0,,10000000.0,9000000.0,65000000.0,France,France,181.0,2024-09-19,1995-12-05 00:00:00,2027-06-30 00:00:00,0.0
,FR1,Midfielder,Central Midfield,Midfield,left,0.3258508327299058,25.0,6905.0,,35000000.0,25000000.0,50000000.0,France,France,191.0,2024-09-17,1995-04-03 00:00:00,2026-06-30 00:00:00,0.0
FR1,GR1,CenterBack,Centre-Back,Defender,right,0.0620048225973131,2.0,2903.0,0.0,1200000.0,800000.0,20000000.0,Jugoslawien (SFR),Croatia,188.0,2024-09-16,1989-07-05 00:00:00,2026-06-30 00:00:00,1.0
L1,TR1,AttMid_Winger,Right Winger,Attack,right,0.4844192634560906,19.0,3530.0,6000000.0,15000000.0,11000000.0,16000000.0,Hungary,Hungary,183.0,2024-09-13,1997-05-22 00:00:00,2028-06-30 00:00:00,1.0
ES1,RU1,CenterBack,Centre-Back,Defender,right,0.0750625521267723,3.0,3597.0,6000000.0,3000000.0,5000000.0,8000000.0,Mexico,Mexico,195.0,2024-09-12,1997-02-24 00:00:00,2029-06-30 00:00:00,0.0
,,Forward,Centre-Forward,Attack,right,0.5441354292623942,5.0,827.0,,4000000.0,2000000.0,16000000.0,France,Algeria,181.0,2024-09-10,1991-10-09 00:00:00,2025-06-30 00:00:00,1.0
,,Forward,Centre-Forward,Attack,right,0.5441354292623942,5.0,827.0,,4000000.0,2000000.0,16000000.0,France,Algeria,181.0,2024-09-10,1991-10-09 00:00:00,2025-06-30 00:00:00,1.0
IT1,TR1,Forward,Centre-Forward,Attack,right,0.3685503685503685,10.0,2442.0,0.0,2400000.0,2200000.0,11000000.0,Nigeria,Nigeria,181.0,2024-09-10,1997-08-29 00:00:00,2025-06-30 00:00:00,0.0
IT1,TR1,Midfielder,Attacking Midfield,Midfield,left,0.2508710801393728,8.0,2870.0,0.0,4500000.0,3000000.0,20000000.0,Czech Republic,Czech Republic,190.0,2024-09-07,1994-12-03 00:00:00,2025-06-30 00:00:00,0.0
IT1,TR1,Midfielder,Attacking Midfield,Midfield,left,0.2508710801393728,8.0,2870.0,0.0,4500000.0,3000000.0,20000000.0,Czech Republic,Czech Republic,190.0,2024-09-07,1994-12-03 00:00:00,2025-06-30 00:00:00,0.0
GB1,BE1,Midfielder,Central Midfield,Midfield,right,0.1399688958009331,1.0,643.0,0.0,4000000.0,3000000.0,25000000.0,Belgium,Belgium,181.0,2024-09-06,1994-05-14 00:00:00,2026-06-30 00:00:00,1.0
IT1,TR1,AttMid_Winger,Left Winger,Attack,right,0.1472995090016366,2.0,1222.0,0.0,3500000.0,3400000.0,15000000.0,Croatia,Croatia,175.0,2024-09-06,1998-06-23 00:00:00,2025-06-30 00:00:00,0.0
IT1,TR1,AttMid_Winger,Left Winger,Attack,right,0.1472995090016366,2.0,1222.0,0.0,3500000.0,3400000.0,15000000.0,Croatia,Croatia,175.0,2024-09-06,1998-06-23 00:00:00,2025-06-30 00:00:00,0.0
IT1,BE1,CenterBack,Left Winger,Attack,right,0.0,0.0,601.0,0.0,1800000.0,1800000.0,3500000.0,Yugoslavia (Republic),Serbia,182.0,2024-09-06,2002-08-15 00:00:00,2025-06-30 00:00:00,0.0
FR1,BE1,FullBack,Right-Back,Defender,right,0.0,0.0,880.0,0.0,1200000.0,800000.0,18000000.0,France,France,170.0,2024-09-05,1998-09-09 00:00:00,2026-06-30 00:00:00,0.0
FR1,FR1,Midfielder,Central Midfield,Midfield,right,0.2253521126760563,16.0,6390.0,4000000.0,15000000.0,5000000.0,35000000.0,France,France,177.0,2024-09-04,1993-03-01 00:00:00,2026-06-30 00:00:00,1.0
,L1,FullBack,Left Midfield,Midfield,left,0.5062743401125054,13.0,2311.0,,5000000.0,4000000.0,14000000.0,Spain,Denmark,185.0,2024-09-04,1996-05-20 00:00:00,,1.0
IT1,TR1,Forward,Centre-Forward,Attack,right,0.958013010053223,54.0,5073.0,0.0,100000000.0,70000000.0,120000000.0,Nigeria,Nigeria,186.0,2024-09-04,1998-12-29 00:00:00,2025-06-30 00:00:00,0.0
FR1,GR1,Midfielder,Central Midfield,Midfield,right,0.1333827343460541,4.0,2699.0,0.0,12000000.0,10000000.0,15000000.0,Morocco,Morocco,182.0,2024-09-04,2000-04-19 00:00:00,2025-06-30 00:00:00,0.0
FR1,GR1,Midfielder,Central Midfield,Midfield,right,0.1333827343460541,4.0,2699.0,0.0,12000000.0,10000000.0,15000000.0,Morocco,Morocco,182.0,2024-09-04,2000-04-19 00:00:00,2025-06-30 00:00:00,0.0
GB1,BE1,AttMid_Winger,Left Winger,Attack,right,0.0,0.0,894.0,0.0,8000000.0,8000000.0,8000000.0,England,England,181.0,2024-09-04,2003-01-28 00:00:00,2025-06-30 00:00:00,0.0
,BE1,AttMid_Winger,Left Winger,Attack,right,0.4433497536945813,3.0,609.0,0.0,6000000.0,4500000.0,15000000.0,France,Morocco,175.0,2024-09-03,1993-09-17 00:00:00,2026-06-30 00:00:00,0.0
IT1,PO1,GoalKeeper,Goalkeeper,Goalkeeper,right,0.0,0.0,3690.0,0.0,1000000.0,800000.0,8000000.0,Mexico,Mexico,185.0,2024-09-02,1985-07-13 00:00:00,2025-06-30 00:00:00,1.0
GB1,GR1,AttMid_Winger,Left Winger,Attack,right,0.3472668810289389,18.0,4665.0,0.0,3000000.0,1000000.0,50000000.0,Brazil,Brazil,175.0,2024-09-02,1988-08-09 00:00:00,2025-06-30 00:00:00,1.0
,IT1,CenterBack,Centre-Back,Defender,left,0.1382913337430854,10.0,6508.0,,25000000.0,10000000.0,35000000.0,Spain,Spain,184.0,2024-09-02,1995-06-18 00:00:00,2025-06-30 00:00:00,1.0
FR1,NL1,FullBack,Right-Back,Defender,right,0.0679929488793754,3.0,3971.0,2200000.0,8000000.0,8000000.0,8000000.0,Switzerland,Switzerland,177.0,2024-09-02,1998-09-29 00:00:00,2027-06-30 00:00:00,0.0
FR1,DK1,FullBack,Right-Back,Defender,right,0.0618556701030927,1.0,1455.0,0.0,800000.0,900000.0,2000000.0,Denmark,Denmark,184.0,2024-09-02,1999-01-16 00:00:00,2025-06-30 00:00:00,1.0
FR1,TR1,FullBack,Left-Back,Defender,left,0.2064220183486238,6.0,2616.0,0.0,8000000.0,7000000.0,8000000.0,Germany,Senegal,184.0,2024-09-02,1999-08-17 00:00:00,2029-06-30 00:00:00,1.0
IT1,PO1,CenterBack,Centre-Back,Defender,right,0.1041666666666666,2.0,1728.0,0.0,12000000.0,10000000.0,16000000.0,Portugal,Portugal,190.0,2024-09-02,2000-04-09 00:00:00,2025-06-30 00:00:00,1.0
GB1,BE1,Midfielder,Defensive Midfield,Midfield,right,0.0857142857142857,1.0,1050.0,0.0,7000000.0,4500000.0,32000000.0,Belgium,Belgium,188.0,2024-08-31,1995-04-15 00:00:00,2025-06-30 00:00:00,1.0
GB1,BE1,Midfielder,Defensive Midfield,Midfield,right,0.0857142857142857,1.0,1050.0,0.0,7000000.0,4500000.0,32000000.0,Belgium,Belgium,188.0,2024-08-31,1995-04-15 00:00:00,2025-06-30 00:00:00,1.0
TR1,GR1,CenterBack,Centre-Back,Defender,left,0.1768558951965065,9.0,4580.0,0.0,3500000.0,2500000.0,8000000.0,The Gambia,The Gambia,191.0,2024-08-31,1992-10-24 00:00:00,2025-06-30 00:00:00,1.0
IT1,NL1,FullBack,Right-Back,Defender,right,0.1055099648300117,3.0,2559.0,0.0,5000000.0,4000000.0,15000000.0,Netherlands,Netherlands,184.0,2024-08-31,1995-02-11 00:00:00,2025-06-30 00:00:00,0.0
IT1,TR1,Midfielder,Defensive Midfield,Midfield,right,0.02275600505689,1.0,3955.0,0.0,22000000.0,20000000.0,30000000.0,Netherlands,Morocco,185.0,2024-08-31,1996-08-21 00:00:00,2028-09-30 00:00:00,0.0
IT1,IT1,GoalKeeper,Goalkeeper,Goalkeeper,right,0.0,0.0,4770.0,,1000000.0,500000.0,10000000.0,Italy,Italy,191.0,2024-08-30,1991-03-02 00:00:00,2025-06-30 00:00:00,1.0
GB1,GB1,GoalKeeper,Goalkeeper,Goalkeeper,right,0.0,0.0,2858.0,11900000.0,10000000.0,8000000.0,12000000.0,England,England,193.0,2024-08-30,1993-03-25 00:00:00,2028-06-30 00:00:00,1.0
FR1,ES1,FullBack,Left-Back,Defender,left,0.2592414786365818,6.0,2083.0,0.0,4000000.0,2500000.0,20000000.0,Spain,Spain,170.0,2024-08-30,1993-03-01 00:00:00,2025-06-30 00:00:00,0.0
GB1,GB1,AttMid_Winger,Right Winger,Attack,right,0.4986661194336138,27.0,4873.0,0.0,35000000.0,15000000.0,160000000.0,Jamaica,England,170.0,2024-08-30,1994-12-08 00:00:00,2025-05-31 00:00:00,0.0
ES1,ES1,CenterBack,Centre-Back,Defender,left,0.0695696985313063,3.0,3881.0,0.0,1500000.0,1000000.0,22000000.0,Yugoslavia (Republic),Serbia,187.0,2024-08-30,1993-03-28 00:00:00,2026-06-30 00:00:00,1.0
GB1,GB1,Midfielder,Central Midfield,Midfield,right,0.3907015824114269,31.0,7141.0,0.0,30000000.0,10000000.0,38000000.0,England,England,177.0,2024-08-30,1994-11-01 00:00:00,2027-06-30 00:00:00,1.0
IT1,IT1,Midfielder,Defensive Midfield,Midfield,right,0.0453058142461615,2.0,3973.0,0.0,5500000.0,4000000.0,10000000.0,Italy,Italy,180.0,2024-08-30,1994-08-06 00:00:00,2025-06-30 00:00:00,0.0
GB1,FR1,Forward,Centre-Forward,Attack,right,0.4143059490084985,13.0,2824.0,0.0,12000000.0,10000000.0,22000000.0,France,France,171.0,2024-08-30,1996-08-14 00:00:00,2025-06-30 00:00:00,0.0
L1,FR1,CenterBack,Defensive Midfield,Midfield,right,0.0908861398636707,4.0,3961.0,0.0,3500000.0,3500000.0,8000000.0,Switzerland,Switzerland,187.0,2024-08-30,1996-04-15 00:00:00,2025-06-30 00:00:00,0.0
L1,L1,Midfielder,Defensive Midfield,Midfield,right,0.0455465587044534,1.0,1976.0,3500000.0,4000000.0,3500000.0,10000000.0,Germany,Germany,178.0,2024-08-30,1998-01-15 00:00:00,2028-06-30 00:00:00,0.0
FR1,GB1,Midfielder,Defensive Midfield,Midfield,right,0.1234229292375205,5.0,3646.0,0.0,20000000.0,20000000.0,22000000.0,Belgium,Belgium,178.0,2024-08-30,1998-03-18 00:00:00,2025-06-30 00:00:00,1.0
GB1,IT1,Midfielder,Central Midfield,Midfield,right,0.3444756315386578,15.0,3919.0,30500000.0,32000000.0,40000000.0,40000000.0,England,Scotland,191.0,2024-08-30,1996-12-08 00:00:00,2028-06-30 00:00:00,0.0
IT1,IT1,CenterBack,Centre-Back,Defender,right,0.0865384615384615,3.0,3120.0,0.0,6000000.0,4000000.0,8000000.0,Austria,Austria,188.0,2024-08-30,2001-04-27 00:00:00,2025-06-30 00:00:00,1.0
IT1,IT1,CenterBack,Centre-Back,Defender,right,0.0865384615384615,3.0,3120.0,0.0,6000000.0,4000000.0,8000000.0,Austria,Austria,188.0,2024-08-30,2001-04-27 00:00:00,2025-06-30 00:00:00,1.0
IT1,IT1,Forward,Centre-Forward,Attack,right,0.4528301886792452,16.0,3180.0,0.0,30000000.0,15000000.0,50000000.0,England,England,194.0,2024-08-30,1997-10-02 00:00:00,2025-06-30 00:00:00,0.0
IT1,IT1,FullBack,Right-Back,Defender,right,0.1931330472103004,4.0,1864.0,0.0,2000000.0,1400000.0,6500000.0,France,France,185.0,2024-08-30,1996-09-07 00:00:00,2025-06-30 00:00:00,1.0
GB1,GB1,Forward,Centre-Forward,Attack,right,0.5795235028976174,20.0,3106.0,29700000.0,30000000.0,22000000.0,35000000.0,England,England,175.0,2024-08-30,1999-05-30 00:00:00,2029-06-30 00:00:00,0.0
GB1,GB1,AttMid_Winger,Right Winger,Attack,right,0.6299212598425197,8.0,1143.0,0.0,15000000.0,18000000.0,18000000.0,England,England,175.0,2024-08-30,1999-12-10 00:00:00,2025-06-30 00:00:00,1.0
