from_league,to_league,Position,sub_position,position,foot,GA90_pre,GA_pre,PreMinutes,transfer_fee,market_value_in_eur,market_value_in_eur_player,highest_market_value_in_eur,country_of_birth,country_of_citizenship,height_in_cm,transfer_date,date_of_birth,contract_expiration_date,DeclineFlag
GR1,TR1,Midfielder,Central Midfield,Midfield,left,0.0919931856899489,3.0,2935.0,0.0,2000000.0,1500000.0,14000000.0,Netherlands,Netherlands,175.0,2025-02-07,1995-01-03 00:00:00,2025-06-30 00:00:00,0.0
GB1,NL1,FullBack,Left-Back,Defender,left,0.0,0.0,1276.0,0.0,15000000.0,12000000.0,22000000.0,Netherlands,Netherlands,169.0,2025-02-04,1999-08-17 00:00:00,2025-06-30 00:00:00,1.0
IT1,IT1,FullBack,Left-Back,Defender,left,0.2884615384615384,15.0,4680.0,0.0,2000000.0,2000000.0,12000000.0,Italy,Italy,185.0,2025-02-03,1992-09-01 00:00:00,2025-06-30 00:00:00,1.0
ES1,ES1,FullBack,Left-Back,Defender,left,0.2752293577981651,4.0,1308.0,0.0,2500000.0,2500000.0,20000000.0,Spain,Spain,170.0,2025-02-03,1993-03-01 00:00:00,2025-06-30 00:00:00,1.0
GB1,SC1,Midfielder,Left Midfield,Midfield,left,0.2847100175746924,9.0,2845.0,0.0,6000000.0,5000000.0,12000000.0,Germany,Ghana,178.0,2025-02-03,1992-12-23 00:00:00,2025-05-31 00:00:00,1.0
GB1,GB1,Midfielder,Central Midfield,Midfield,right,0.3783958602846054,26.0,6184.0,0.0,16000000.0,10000000.0,38000000.0,England,England,177.0,2025-02-03,1994-11-01 00:00:00,2027-06-30 00:00:00,1.0
IT1,IT1,FullBack,Right-Back,Defender,right,0.1502504173622704,8.0,4792.0,0.0,7500000.0,7500000.0,25000000.0,Italy,Italy,176.0,2025-02-03,1996-12-06 00:00:00,2025-06-30 00:00:00,0.0
ES1,ES1,Midfielder,Central Midfield,Midfield,left,0.1857201815930664,5.0,2423.0,0.0,2500000.0,2500000.0,30000000.0,Spain,Spain,180.0,2025-02-03,1998-01-05 00:00:00,2025-06-30 00:00:00,0.0
FR1,GB1,AttMid_Winger,Right Winger,Attack,left,0.7490396927016646,26.0,3124.0,0.0,20000000.0,20000000.0,90000000.0,Spain,Spain,182.0,2025-02-03,1996-01-21 00:00:00,2025-06-30 00:00:00,0.0
IT1,IT1,AttMid_Winger,Centre-Forward,Attack,right,0.3510140405616225,10.0,2564.0,0.0,7500000.0,6000000.0,22000000.0,Cote d'Ivoire,Cote d'Ivoire,185.0,2025-02-03,1997-12-06 00:00:00,2025-06-30 00:00:00,1.0
IT1,FR1,Midfielder,Defensive Midfield,Midfield,left,0.2824637112593173,8.0,2549.0,0.0,14000000.0,15000000.0,40000000.0,France,Algeria,175.0,2025-02-03,1997-12-01 00:00:00,2025-06-30 00:00:00,1.0
GB1,GB1,CenterBack,Centre-Back,Defender,right,0.0870265914585012,6.0,6205.0,0.0,30000000.0,25000000.0,42000000.0,France,France,191.0,2025-02-03,1998-03-11 00:00:00,2025-06-30 00:00:00,1.0
